label,index
Miniature Poodle,266
racket,752
Papillon,157
Dandie Dinmont Terrier,194
tool kit,477
magpie,18
bucket,463
American lobster,122
carousel,476
drilling rig,540
leafhopper,317
fig,952
vulture,23
ladybug,301
dock,536
picket fence,716
hot pot,926
military aircraft,895
bee,309
desktop computer,527
oil filter,686
doormat,539
mink,357
black swan,100
fireboat,554
wallet,893
guinea pig,338
home theater,598
mashed potato,935
water bottle,898
toy terrier,158
prison,743
chickadee,19
European green lizard,46
safe,771
wooden spoon,910
impala,352
indri,384
meerkat,299
Saluki,176
Whippet,172
dog sled,537
Rhodesian Ridgeback,159
Irish Water Spaniel,221
Polaroid camera,732
hyena,276
American bullfrog,30
Beagle,162
Great Dane,246
Bernese Mountain Dog,239
paintbrush,696
torch,862
pineapple,953
harp,594
seashore,978
mousetrap,674
speaker,632
hen,8
Norwich Terrier,186
nematode,111
clogs,502
duck,97
umbrella,879
billiard table,736
cradle,516
barn,425
Pickelhaube,715
china cabinet,495
cheeseburger,933
disc brake,535
Australian Kelpie,227
limousine,627
measuring cup,647
feather boa,552
black-footed ferret,359
rhinoceros beetle,306
vine snake,59
gown,578
Rottweiler,234
eraser,767
ice pop,929
quilt,750
Afghan Hound,160
computer keyboard,508
Airedale Terrier,191
macaw,88
mop,840
cock,7
submarine,833
junco,13
Japanese Chin,152
Treeing Walker Coonhound,166
radio,754
hand plane,726
shopping cart,791
butternut squash,942
car wheel,479
hare,331
payphone,707
soup bowl,809
overskirt,689
hard disk drive,592
worm snake,52
barrette,584
Dungeness crab,118
siamang,369
cougar,286
goose,99
washing machine,897
agama,42
match,644
acorn,988
pillow,721
crash helmet,518
Standard Poodle,267
tusker,101
wall clock,892
ping-pong ball,722
tub,876
beaver,337
mountain bike,671
square academic cap,667
dhole,274
filing cabinet,553
front curtain,854
prairie grouse,83
shower cap,793
refrigerator,760
boa constrictor,61
English Setter,212
Asian elephant,385
West Highland White Terrier,203
shield,787
lawn mower,621
restaurant,762
black stork,128
bathtub,435
scoreboard,781
toilet paper,999
giant panda,388
sweatshirt,841
garter snake,57
gazelle,353
oystercatcher,143
ruddy turnstone,139
shower curtain,794
peacock,84
sundial,835
folding chair,559
slip-on shoe,630
perfume,711
valley,979
Ibizan Hound,173
red panda,387
strainer,828
red king crab,121
canoe,472
tennis ball,852
flatworm,110
pufferfish,397
maraca,641
sink,896
mud turtle,35
espresso machine,550
screwdriver,784
tiger shark,3
Australian Silky Terrier,201
dunlin,140
chest,492
airship,405
Schipperke,223
common squirrel monkey,382
Shetland Sheepdog,230
Model T,661
monitor,664
shopping basket,790
house finch,12
trilobite,69
dust jacket,921
eggnog,969
German Shepherd Dog,235
suit,834
table lamp,846
tank,847
rock beauty,392
planetarium,727
coyote,272
longhorn beetle,303
paper towel,700
vestment,887
pirate ship,724
bee eater,92
rose hip,989
semi-trailer truck,867
cicada,316
small white,324
hay,958
coffeemaker,505
velvet,885
goldfish,1
dowitcher,142
pitcher,725
paper knife,623
drumstick,542
bison,347
sulphur butterfly,325
plow,730
banana,954
volleyball,890
desert grassland whiptail lizard,41
turnstile,877
espresso,967
prayer rug,741
terrapin,36
automated teller machine,480
bow tie,457
Samoyed,258
gyromitra,993
slide rule,798
sturgeon,394
bolo tie,451
half-track,586
clothes iron,606
sulphur-crested cockatoo,89
mongoose,298
gibbon,368
pinwheel,723
horse-drawn vehicle,603
tiger,292
cleaver,499
Border Terrier,182
lipstick,629
cloak,501
wallaby,104
teapot,849
warthog,343
flagpole,557
loggerhead sea turtle,33
Weimaraner,178
Granny Smith,948
polar bear,296
shovel,792
bullock cart,690
cup,968
ambulance,407
cauliflower,938
fountain,562
projectile,744
electric locomotive,547
unicycle,880
European garden spider,74
grand piano,579
white stork,127
English Springer Spaniel,217
bottle cap,455
Cocker Spaniels,219
running shoe,770
stupa,832
confectionery store,509
joystick,613
stretcher,830
notebook computer,681
pretzel,932
reel,758
through arch bridge,821
Saharan horned viper,66
computer mouse,673
Siberian Husky,250
sawmill,634
Sealyham Terrier,190
black grouse,80
sunscreen,838
grocery store,582
ring binder,446
revolver,763
microphone,650
quail,85
military uniform,652
yellow lady's slipper,986
American black bear,295
typewriter keyboard,878
wig,903
purse,748
Brittany,215
obelisk,682
bolete,997
aircraft carrier,403
great grey owl,24
Griffon Bruxellois,262
comic book,917
snowmobile,802
screw,783
acorn squash,941
hair spray,585
vase,883
collie,231
tiger cat,282
ox,345
cottontail rabbit,330
dung beetle,305
football helmet,560
tractor,866
stick insect,313
guacamole,924
amphibious vehicle,408
vault,884
husky,248
bell-cot,442
brass,458
go-kart,573
wok,909
website,916
leopard,288
space shuttle,812
magnetic compass,635
wombat,106
crane (machine),517
cricket,312
snail,113
chain mail,490
Band-Aid,419
minibus,654
hornbill,93
loupe,633
chain,488
basketball,430
cuirass,524
soap dispenser,804
bagel,931
weasel,356
brown bear,294
split-rail fence,912
spotted salamander,28
crayfish,124
red admiral,321
movie theater,498
mobile phone,487
crane (bird),134
spatula,813
Italian Greyhound,171
holster,597
rotary dial telephone,528
lab coat,617
green iguana,39
beer bottle,440
backpack,414
moving van,675
lionfish,396
Redbone Coonhound,168
pole,733
American Staffordshire Terrier,180
black-and-white colobus,375
honeycomb,599
bell pepper,945
ground beetle,302
breakwater,460
shoe store,788
tailed frog,32
hammer,587
ringlet,322
marmoset,377
hoop skirt,601
radiator,753
cowboy boot,514
horizontal bar,602
chambered nautilus,117
red-breasted merganser,98
rock crab,119
hair dryer,589
lorikeet,90
pickup truck,717
rotisserie,766
dragonfly,319
ring-tailed lemur,383
sea slug,115
Appenzeller Sennenhund,240
partridge,86
Clumber Spaniel,216
knee pad,615
CD player,485
wheelbarrow,428
car mirror,475
ruffed grouse,82
harmonica,593
traffic light,920
barrel,427
threshing machine,856
Pembroke Welsh Corgi,263
packet,692
ballpoint pen,418
pedestal,708
suspension bridge,839
vacuum cleaner,882
microwave oven,651
barber chair,423
French horn,566
pig,341
yellow garden spider,72
hartebeest,351
bra,459
triceratops,51
ant,310
mask,643
clownfish,393
scorpion,71
lacewing,318
tile roof,858
chameleon,47
gas pump,571
snowplow,803
bobsleigh,450
scooter,670
station wagon,436
Otterhound,175
toilet seat,861
damselfly,320
Sussex Spaniel,220
flamingo,130
digital clock,530
Black and Tan Coonhound,165
American robin,15
dumbbell,543
Border Collie,232
baluster,421
cardigan,474
mobile home,660
tank suit,639
dough,961
salt shaker,773
European polecat,358
marimba,642
Windsor tie,906
toaster,859
monarch butterfly,323
crossword,918
gossamer-winged butterfly,326
Bluetick Coonhound,164
thatched roof,853
electric ray,5
Welsh Springer Spaniel,218
spiny lobster,123
missile,657
weevil,307
traffic sign,919
television,851
schooner,780
mantis,315
bridegroom,982
organ,687
three-toed sloth,364
Shih Tzu,155
desk,526
stove,827
golf cart,575
paddle wheel,694
Alpine ibex,350
knot,616
axolotl,29
red wolf,271
Bouvier des Flandres,233
fire salamander,25
jigsaw puzzle,611
dingo,273
window screen,904
container ship,510
Irish Terrier,184
Crock Pot,521
boathouse,449
rain barrel,756
gondola,576
grey wolf,269
barbershop,424
Norfolk Terrier,185
eastern hog-nosed snake,54
eastern diamondback rattlesnake,67
Carolina anole,40
grille,581
carton,478
Chihuahua,151
Staffordshire Bull Terrier,179
mosque,668
paddle,693
mixing bowl,659
smooth green snake,55
common gallinule,136
hen-of-the-woods,996
Maltese,153
Newfoundland,256
goblet,572
four-poster bed,564
Scottish Terrier,199
swimsuit,842
thimble,855
lens cap,622
Gila monster,45
orangutan,365
baseball player,981
jackfruit,955
teddy bear,850
frilled-necked lizard,43
cocktail shaker,503
Wire Fox Terrier,188
sombrero,808
slug,114
ski mask,796
American coot,137
patas monkey,371
cello,486
lynx,287
bassoon,432
plunger,731
pill bottle,720
Alaskan Malamute,249
jeans,608
jack-o'-lantern,607
tench,0
binoculars,447
sidewinder,68
apron,411
leatherback sea turtle,34
Petri dish,712
analog clock,409
sunglasses,837
Irish Setter,213
cannon,471
Alaskan tundra wolf,270
wool,911
titi,380
pizza,963
meatloaf,962
grey whale,147
kingsnake,56
spotlight,818
soda bottle,737
baboon,372
space bar,810
whiskey jug,901
Cairn Terrier,192
crutch,523
tobacco shop,860
American dipper,20
golf ball,574
balloon,417
sleeping bag,797
hamster,333
chainsaw,491
maypole,645
centipede,79
bikini,445
castle,483
ocarina,684
quill,749
chiffonier,493
padlock,695
water tower,900
barn spider,73
toy store,865
porcupine,334
stopwatch,826
soccer ball,805
tent,672
pelican,144
box turtle,37
Christmas stocking,496
garbage truck,569
Nile crocodile,49
trifle,927
Malinois,225
Giant Schnauzer,197
Boston Terrier,195
shipwreck,913
freight car,565
medicine chest,648
violin,889
frying pan,567
common redshank,141
envelope,549
smooth newt,26
sea anemone,108
throne,857
wing,908
taxicab,468
dome,538
shoji,789
English foxhound,167
radio telescope,755
spindle,816
Dobermann,236
Chesapeake Bay Retriever,209
pug,254
power drill,740
bulbul,16
switch,844
water buffalo,346
laptop computer,620
cheetah,293
bookcase,453
hot dog,934
stage,819
rifle,764
snorkel,801
carbonara,959
acoustic guitar,402
barbell,422
window shade,905
park bench,703
crate,519
red wine,966
starfish,327
monastery,663
wine bottle,907
Geoffroy's spider monkey,381
military cap,439
Old English Sheepdog,229
Persian cat,283
drum,541
CRT screen,782
tights,638
common sorrel,339
fiddler crab,120
cliff,972
borzoi,169
vending machine,886
snow leopard,289
cliff dwelling,500
nipple,680
pencil sharpener,710
entertainment center,548
coil,506
earth star,995
high-speed train,466
viaduct,888
fur coat,568
flute,558
manhole cover,640
pajamas,697
Komodo dragon,48
burrito,965
hippopotamus,344
abacus,398
Curly-coated Retriever,206
Vizsla,211
dishwasher,534
lakeshore,975
photocopier,713
Kuvasz,222
Basenji,253
Bullmastiff,243
saxophone,776
plate rack,729
lifeboat,625
odometer,685
fox squirrel,335
horse chestnut seed,990
plastic bag,728
orange,950
nail,677
bookstore,454
swing,843
dugong,149
face powder,551
great egret,132
Tibetan Mastiff,244
American alligator,50
parallel bars,702
spoonbill,129
kit fox,278
gong,577
brambling,10
waffle iron,891
oboe,683
candle,470
dining table,532
punching bag,747
lotion,631
library,624
piggy bank,719
ram,348
Boxer,242
barometer,426
waste container,412
tow truck,864
plectrum,714
agaric,992
syringe,845
Bedlington Terrier,181
Keeshond,261
Kerry Blue Terrier,183
bittern,133
ruler,769
ostrich,9
kimono,614
spaghetti squash,940
greenhouse,580
bath towel,434
seat belt,785
grey fox,280
rugby ball,768
chain-link fence,489
howler monkey,379
echidna,102
academic gown,400
coho salmon,391
coral fungus,991
zucchini,939
lampshade,619
African rock python,62
llama,355
recreational vehicle,757
beaker,438
mail bag,636
oxygen mask,691
iPod,605
breastplate,461
night snake,60
dishcloth,533
armadillo,363
whistle,902
Siamese cat,284
mailbox,637
steam locomotive,820
patio,706
miniskirt,655
moped,665
hourglass,604
king penguin,145
St. Bernard,247
sports car,817
stingray,6
harvestman,70
skunk,361
Briard,226
mushroom,947
swimming cap,433
stone wall,825
electric guitar,546
tricycle,870
triumphal arch,873
sloth bear,297
handkerchief,591
sliding door,799
tick,78
snoek,389
pencil case,709
assault rifle,413
Pekingese,154
fly,308
apiary,410
artichoke,944
Tibetan Terrier,200
jacamar,95
scuba diver,983
newt,27
chocolate syrup,960
cassette player,482
coucal,91
cardoon,946
couch,831
otter,360
baguette,930
platypus,103
passenger car,705
grasshopper,311
ice cream,928
kite,21
race car,751
Scottish Deerhound,177
Dutch oven,544
birdhouse,448
hermit crab,125
parachute,701
trimaran,871
scarf,824
Leonberger,255
fire screen sheet,556
langur,374
badger,362
sewing machine,786
hand-held computer,590
jay,17
trench coat,869
Flat-Coated Retriever,205
modem,662
fire engine,555
African wild dog,275
fountain pen,563
African bush elephant,386
killer whale,148
digital watch,531
cucumber,943
hook,600
Dalmatian,251
baseball,429
police van,734
corkscrew,512
stinkhorn mushroom,994
trombone,875
trolleybus,874
bubble,971
